Song,Artist,Failed Reason
Vandorlovura,!Dela Dap,No suitable video
Lautlos feat. Voice & Musicians of the 17 Hippies (!Dela Dap Remix4Club),!Dela Dap,No suitable video
Pen Mange,!Dela Dap,No suitable video
Lautlos feat. ?7 Hippies,!Dela Dap,No suitable video
Demovast,!Dela Dap,No suitable video
Lautlos feat. Voice & Musicians of the 17 Hippies (Jeremiah-Remix),!Dela Dap,Every channel is None or video duration is not between 60 and 600 seconds
Lautlos feat. Voice & Musicians of the 17 Hippies (Jeremiah-Remix),!Dela Dap,No suitable video
The 6th Floor,!distain,No suitable video
Lautlos feat. Voice & Musicians of the 17 Hippies (Radio Edit),!Dela Dap,No suitable video
Conversation Overkill,!distain,Every channel is None or video duration is not between 60 and 600 seconds
Conversation Overkill,!distain,No suitable video
Amaro Shavo (Radio Edit),!Dela Dap,No suitable video
Chachimo,!Dela Dap,No suitable video
Amaro Shavo,!Dela Dap,No suitable video
Angelo,!Dela Dap,No suitable video
Cigani,!Dela Dap,No suitable video
Anna,!Conz,No suitable video
Dela Paji feat. Leonsia Erdenko,!Dela Dap,No suitable video
